Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type,month,day,hour,Usage_kWh_rolling_avg_3hr,Usage_kWh_lag_1hr
3.28,3.49,0.0,0.0,68.48,100.0,0,1,0,1,1,5,3.4666666666666663,3.56
3.78,4.32,0.0,0.0,65.85,100.0,0,1,0,1,1,6,3.5399999999999996,3.28
3.35,3.64,0.0,0.0,67.72,100.0,0,1,0,1,1,6,3.47,3.78
3.24,3.35,0.0,0.0,69.52,100.0,0,1,0,1,1,6,3.456666666666667,3.35
3.89,4.46,0.0,0.0,65.73,100.0,0,1,0,1,1,6,3.4933333333333336,3.24
3.31,3.53,0.0,0.0,68.4,100.0,0,1,0,1,1,7,3.4800000000000004,3.89
3.28,3.49,0.0,0.0,68.48,100.0,0,1,0,1,1,7,3.4933333333333336,3.31
3.85,4.75,0.0,0.0,62.97,100.0,0,1,0,1,1,7,3.48,3.28
3.2,3.6,0.0,0.0,66.44,100.0,0,1,0,1,1,7,3.4433333333333334,3.85
3.31,3.78,0.0,0.0,65.88,100.0,0,1,0,1,1,8,3.4533333333333336,3.2
3.78,4.75,0.0,0.0,62.27,100.0,0,1,0,1,1,8,3.4299999999999997,3.31
3.28,3.74,0.0,0.0,65.94,100.0,0,1,0,1,1,8,3.4566666666666666,3.78
3.49,4.46,0.18,0.0,61.63,99.87,0,1,0,1,1,8,3.516666666666666,3.28
3.89,0.0,15.66,0.0,100.0,24.11,0,1,0,1,1,9,3.5533333333333332,3.49
3.6,0.0,16.96,0.0,100.0,20.76,0,1,0,1,1,9,3.66,3.89
4.03,0.0,21.28,0.0,100.0,18.61,0,1,0,1,1,9,3.8400000000000003,3.6
3.92,0.0,19.22,0.0,100.0,19.98,0,1,0,1,1,9,3.85,4.03
3.64,0.0,16.88,0.0,100.0,21.08,0,1,0,1,1,10,3.8633333333333337,3.92
4.07,0.0,22.32,0.0,100.0,17.94,0,1,0,1,1,10,3.876666666666667,3.64
3.71,0.0,18.0,0.0,100.0,20.19,0,1,0,1,1,10,3.806666666666667,4.07
3.6,0.0,16.92,0.0,100.0,20.81,0,1,0,1,1,10,3.7933333333333334,3.71
4.21,0.0,23.4,0.0,100.0,17.71,0,1,0,1,1,11,3.84,3.6
3.49,0.0,5.65,0.0,100.0,52.55,0,1,0,1,1,11,3.766666666666667,4.21
3.46,0.0,4.82,0.0,100.0,58.31,0,1,0,1,1,11,3.72,3.49
4.0,0.0,6.7,0.0,100.0,51.26,0,1,0,1,1,11,3.65,3.46
3.49,0.0,4.57,0.0,100.0,60.69,0,1,0,1,1,12,3.65,4.0
3.6,0.0,12.89,0.0,100.0,26.9,0,1,0,1,1,12,3.6966666666666668,3.49
4.25,0.0,23.15,0.0,100.0,18.06,0,1,0,1,1,12,3.78,3.6
3.67,0.0,16.67,0.0,100.0,21.5,0,1,0,1,1,12,3.84,4.25
3.67,0.0,16.63,0.0,100.0,21.55,0,1,0,1,1,13,3.8633333333333333,3.67
4.25,0.0,23.33,0.0,100.0,17.92,0,1,0,1,1,13,3.8633333333333333,3.67
3.64,0.0,16.74,0.0,100.0,21.25,0,1,0,1,1,13,3.8533333333333335,4.25
3.67,0.0,16.99,0.0,100.0,21.11,0,1,0,1,1,13,3.8533333333333335,3.64
4.28,0.0,23.4,0.0,100.0,17.99,0,1,0,1,1,14,3.8633333333333333,3.67
3.64,0.0,16.67,0.0,100.0,21.33,0,1,0,1,1,14,3.8633333333333333,4.28
3.78,0.0,18.25,0.0,100.0,20.28,0,1,0,1,1,14,3.9,3.64
4.1,0.0,22.1,0.0,100.0,18.24,0,1,0,1,1,14,3.84,3.78
3.64,0.0,16.7,0.0,100.0,21.3,0,1,0,1,1,15,3.84,4.1
3.92,0.0,19.33,0.0,100.0,19.87,0,1,0,1,1,15,3.8866666666666667,3.64
4.1,0.0,21.35,0.0,100.0,18.86,0,1,0,1,1,15,3.8866666666666667,3.92
3.6,0.0,16.81,0.0,100.0,20.94,0,1,0,1,1,15,3.873333333333333,4.1
3.96,0.0,20.45,0.0,100.0,19.01,0,1,0,1,1,16,3.8866666666666667,3.6
4.0,0.0,20.77,0.0,100.0,18.91,0,1,0,1,1,16,3.8533333333333335,3.96
3.6,0.0,16.81,0.0,100.0,20.94,0,1,0,1,1,16,3.8533333333333335,4.0
4.07,0.0,21.64,0.0,100.0,18.48,0,1,0,1,1,16,3.89,3.6
3.82,0.0,19.19,0.0,100.0,19.52,0,1,0,1,1,17,3.83,4.07
3.56,0.0,16.96,0.0,100.0,20.54,0,1,0,1,1,17,3.8166666666666664,3.82
4.1,0.0,23.51,0.0,100.0,17.18,0,1,0,1,1,17,3.8266666666666667,3.56
3.6,0.0,17.39,0.0,100.0,20.27,0,1,0,1,1,17,3.7533333333333334,4.1
3.6,0.0,17.35,0.0,100.0,20.32,0,1,0,1,1,18,3.766666666666667,3.6
4.0,0.0,8.96,0.0,100.0,40.77,0,1,0,1,1,18,3.733333333333333,3.6
3.42,0.0,5.47,0.0,100.0,53.01,0,1,0,1,1,18,3.6733333333333333,4.0
3.67,0.0,16.24,0.0,100.0,22.04,0,1,0,1,1,18,3.6966666666666668,3.42
4.07,0.0,22.57,0.0,100.0,17.75,0,1,0,1,1,19,3.72,3.67
3.53,0.0,17.39,0.0,100.0,19.89,0,1,0,1,1,19,3.7566666666666664,4.07
3.85,0.0,20.74,0.0,100.0,18.25,0,1,0,1,1,19,3.8166666666666664,3.53
3.96,0.0,20.88,0.0,100.0,18.63,0,1,0,1,1,19,3.78,3.85
3.56,0.0,17.35,0.0,100.0,20.1,0,1,0,1,1,20,3.7900000000000005,3.96
4.03,0.0,22.54,0.0,100.0,17.6,0,1,0,1,1,20,3.85,3.56
3.74,0.0,19.55,0.0,100.0,18.79,0,1,0,1,1,20,3.776666666666667,4.03
3.56,0.0,17.42,0.0,100.0,20.02,0,1,0,1,1,20,3.776666666666667,3.74
4.21,0.0,24.26,0.0,100.0,17.1,0,1,0,1,1,21,3.8366666666666664,3.56
3.56,0.0,17.75,0.0,100.0,19.66,0,1,0,1,1,21,3.776666666666667,4.21
3.53,0.0,17.42,0.0,100.0,19.86,0,1,0,1,1,21,3.766666666666666,3.56
4.25,0.0,25.2,0.0,100.0,16.63,0,1,0,1,1,21,3.78,3.53
3.53,0.0,17.5,0.0,100.0,19.77,0,1,0,1,1,22,3.7699999999999996,4.25
3.56,1.44,10.08,0.0,92.7,33.3,0,1,0,1,1,22,3.78,3.53
3.67,4.21,0.0,0.0,65.71,100.0,0,1,0,1,1,22,3.5866666666666664,3.56
3.24,3.35,0.0,0.0,69.52,100.0,0,1,0,1,1,22,3.49,3.67
3.53,3.74,0.0,0.0,68.64,100.0,0,1,0,1,1,23,3.48,3.24
3.53,3.42,0.0,0.0,71.82,100.0,0,1,0,1,1,23,3.4333333333333336,3.53
3.24,2.95,0.0,0.0,73.94,100.0,0,1,0,1,1,23,3.4333333333333336,3.53
3.67,3.96,0.0,0.0,67.97,100.0,0,1,0,1,1,23,3.4800000000000004,3.24
3.2,3.1,0.0,0.0,71.82,100.0,0,5,0,1,2,0,3.3699999999999997,3.67
3.85,4.61,0.0,0.0,64.1,100.0,0,5,0,1,2,0,3.5733333333333337,3.2
3.28,3.67,0.0,0.0,66.64,100.0,0,5,0,1,2,0,3.4433333333333334,3.85
4.61,4.21,0.0,0.0,73.84,100.0,0,5,0,1,2,0,3.9133333333333336,3.28
3.35,3.6,0.0,0.0,68.12,100.0,0,5,0,1,2,1,3.7466666666666666,4.61
3.89,4.72,0.0,0.0,63.6,100.0,0,5,0,1,2,1,3.9500000000000006,3.35
3.28,3.53,0.0,0.0,68.07,100.0,0,5,0,1,2,1,3.5066666666666664,3.89
3.46,3.96,0.0,0.0,65.8,100.0,0,5,0,1,2,1,3.5433333333333334,3.28
3.78,4.82,0.0,0.0,61.71,100.0,0,5,0,1,2,2,3.5066666666666664,3.46
3.31,3.53,0.0,0.0,68.4,100.0,0,5,0,1,2,2,3.516666666666667,3.78
3.6,4.36,0.0,0.0,63.67,100.0,0,5,0,1,2,2,3.563333333333333,3.31
3.64,4.39,0.0,0.0,63.83,100.0,0,5,0,1,2,2,3.516666666666667,3.6
3.28,3.71,0.0,0.0,66.24,100.0,0,5,0,1,2,3,3.5066666666666664,3.64
3.71,4.57,0.0,0.0,63.03,100.0,0,5,0,1,2,3,3.543333333333333,3.28
3.56,4.03,0.0,0.0,66.21,100.0,0,5,0,1,2,3,3.516666666666666,3.71
3.24,3.49,0.0,0.0,68.04,100.0,0,5,0,1,2,3,3.5033333333333334,3.56
3.89,4.64,0.0,0.0,64.25,100.0,0,5,0,1,2,4,3.563333333333334,3.24
3.28,3.42,0.0,0.0,69.22,100.0,0,5,0,1,2,4,3.47,3.89
3.28,3.49,0.0,0.0,68.48,100.0,0,5,0,1,2,4,3.483333333333333,3.28
3.96,4.68,0.0,0.0,64.59,100.0,0,5,0,1,2,4,3.5066666666666664,3.28
3.24,3.42,0.0,0.0,68.77,100.0,0,5,0,1,2,5,3.4933333333333336,3.96
3.46,3.78,0.0,0.0,67.52,100.0,0,5,0,1,2,5,3.5533333333333332,3.24
3.67,4.07,0.0,0.0,66.97,100.0,0,5,0,1,2,5,3.456666666666667,3.46
3.67,3.96,0.0,0.0,67.97,100.0,0,5,0,1,2,6,3.6,3.67
3.53,3.78,0.0,0.0,68.25,100.0,0,5,0,1,2,6,3.623333333333333,3.67
3.2,3.24,0.0,0.0,70.27,100.0,0,5,0,1,2,6,3.466666666666667,3.53
3.78,4.07,0.0,0.0,68.05,100.0,0,5,0,1,2,6,3.5033333333333334,3.2
3.35,3.35,0.0,0.0,70.71,100.0,0,5,0,1,2,7,3.4433333333333334,3.78
3.53,3.49,0.0,0.0,71.11,100.0,0,5,0,1,2,7,3.5533333333333332,3.35
6.3,4.57,0.0,0.0,80.95,100.0,0,5,0,1,2,7,4.3933333333333335,3.53
6.05,4.79,0.0,0.0,78.4,100.0,0,5,0,1,2,7,5.293333333333333,6.3
6.73,4.54,0.0,0.0,82.9,100.0,0,5,0,1,2,8,6.359999999999999,6.05
29.02,18.83,0.07,0.0,83.89,100.0,0,5,0,1,2,8,13.933333333333332,6.73
46.19,28.66,0.0,0.0,84.97,100.0,0,5,0,1,2,8,27.313333333333333,29.02
52.06,35.32,0.0,0.0,82.75,100.0,0,5,0,1,2,8,42.42333333333333,46.19
56.2,12.53,0.11,0.0,97.6,100.0,0,5,0,1,2,9,51.48333333333333,52.06
56.84,8.32,0.0,0.0,98.95,100.0,0,5,2,1,2,9,55.03333333333334,56.2
51.26,4.54,0.94,0.0,99.61,99.98,0,5,2,1,2,9,54.76666666666667,56.84
48.13,2.34,1.15,0.0,99.88,99.97,0,5,2,1,2,9,52.076666666666675,51.26
52.81,7.06,0.54,0.0,99.12,99.99,0,5,2,1,2,10,50.73333333333333,48.13
54.79,7.52,0.14,0.0,99.07,100.0,0,5,1,1,2,10,51.910000000000004,52.81
53.21,8.35,0.11,0.0,98.79,100.0,0,5,1,1,2,10,53.60333333333333,54.79
80.21,32.4,0.0,0.0,92.72,100.0,0,5,1,1,2,10,62.73666666666666,53.21
77.58,25.49,0.0,0.0,95.0,100.0,0,5,1,1,2,11,70.33333333333333,80.21
90.86,54.29,0.0,0.0,85.84,100.0,0,5,1,1,2,11,82.88333333333333,77.58
19.22,5.54,18.9,0.0,96.09,71.3,0,5,2,1,2,12,62.55333333333334,90.86
8.46,0.0,25.92,0.0,100.0,31.03,0,5,2,1,2,12,39.51333333333333,19.22
8.24,0.0,25.34,0.0,100.0,30.92,0,5,2,1,2,12,11.973333333333334,8.46
8.03,0.0,25.49,0.0,100.0,30.05,0,5,2,1,2,13,8.243333333333334,8.24
79.67,27.29,6.52,0.0,94.6,99.67,0,5,2,1,2,13,31.98,8.03
97.85,46.8,0.0,0.0,90.21,100.0,0,5,2,1,2,13,61.85,79.67
108.61,43.34,0.0,0.0,92.88,100.0,0,5,2,1,2,14,95.37666666666667,97.85
123.12,55.26,0.0,0.0,91.23,100.0,0,5,2,1,2,14,109.86,108.61
82.08,27.58,0.0,0.0,94.79,100.0,0,5,2,1,2,14,104.60333333333334,123.12
86.9,34.27,0.0,0.0,93.03,100.0,0,5,2,1,2,15,97.36666666666667,82.08
116.53,52.88,0.0,0.0,91.06,100.0,0,5,2,1,2,15,95.17,86.9
85.72,34.85,0.0,0.0,92.64,100.0,0,5,2,1,2,16,96.38333333333334,116.53
86.94,30.78,0.0,0.0,94.27,100.0,0,5,2,1,2,17,96.39666666666666,85.72
67.25,25.81,0.0,0.0,93.36,100.0,0,5,1,1,2,17,79.97000000000001,86.94
115.78,50.04,0.0,0.0,91.79,100.0,0,5,1,1,2,17,89.99,67.25
113.11,34.63,0.0,0.0,95.62,100.0,0,5,1,1,2,17,98.71333333333332,115.78
76.75,11.74,1.04,0.0,98.85,99.99,0,5,1,1,2,18,101.88,113.11
41.9,15.23,0.14,0.0,93.98,100.0,0,5,1,1,2,18,77.25333333333334,76.75
37.4,19.94,0.0,0.0,88.24,100.0,0,5,1,1,2,18,52.01666666666667,41.9
40.25,8.82,0.5,0.0,97.68,99.99,0,5,1,1,2,18,39.85,37.4
34.92,1.98,1.58,0.0,99.84,99.9,0,5,1,1,2,19,37.52333333333333,40.25
41.36,6.44,0.43,0.0,98.81,99.99,0,5,1,1,2,19,38.843333333333334,34.92
35.96,2.52,1.37,0.0,99.76,99.93,0,5,1,1,2,19,37.413333333333334,41.36
39.42,5.29,0.47,0.0,99.11,99.99,0,5,1,1,2,19,38.913333333333334,35.96
38.16,4.68,0.5,0.0,99.26,99.99,0,5,1,1,2,20,37.846666666666664,39.42
33.23,1.51,3.96,0.0,99.9,99.3,0,5,2,1,2,20,36.93666666666666,38.16
25.88,0.0,12.13,0.0,100.0,90.55,0,5,2,1,2,20,32.423333333333325,33.23
10.84,0.0,23.22,0.0,100.0,42.3,0,5,2,1,2,20,23.316666666666663,25.88
9.29,0.0,23.51,0.0,100.0,36.75,0,5,2,1,2,21,15.336666666666666,10.84
6.98,0.0,25.16,0.0,100.0,26.73,0,5,2,1,2,21,9.036666666666667,9.29
5.11,0.0,26.5,0.0,100.0,18.93,0,5,2,1,2,21,7.126666666666666,6.98
5.08,0.0,26.42,0.0,100.0,18.88,0,5,2,1,2,21,5.723333333333334,5.11
5.04,0.0,26.46,0.0,100.0,18.71,0,5,2,1,2,22,5.076666666666667,5.08
4.93,1.84,15.44,0.0,93.69,30.42,0,5,1,1,2,22,5.016666666666667,5.04
4.64,5.22,0.0,0.0,66.44,100.0,0,5,1,1,2,22,4.87,4.93
4.68,5.18,0.0,0.0,67.04,100.0,0,5,1,1,2,22,4.75,4.64
4.68,5.11,0.0,0.0,67.54,100.0,0,5,1,1,2,23,4.666666666666667,4.68
4.57,4.54,0.0,0.0,70.94,100.0,0,5,0,1,2,23,4.6433333333333335,4.68
4.57,4.25,0.0,0.0,73.23,100.0,0,5,0,1,2,23,4.6066666666666665,4.57
4.54,4.25,0.0,0.0,73.0,100.0,0,5,0,1,2,23,4.56,4.57
4.61,4.61,0.0,0.0,70.71,100.0,0,6,0,1,3,0,4.573333333333333,4.54
4.61,4.54,0.0,0.0,71.25,100.0,0,6,0,1,3,0,4.586666666666667,4.61
4.57,4.5,0.0,0.0,71.25,100.0,0,6,0,1,3,0,4.596666666666667,4.61
4.57,4.61,0.0,0.0,70.4,100.0,0,6,0,1,3,1,4.583333333333333,4.57
4.64,4.46,0.0,0.0,72.1,100.0,0,6,0,1,3,1,4.593333333333334,4.57
4.64,4.57,0.0,0.0,71.25,100.0,0,6,0,1,3,1,4.616666666666666,4.64
4.61,4.79,0.0,0.0,69.34,100.0,0,6,0,1,3,1,4.63,4.64
4.57,4.5,0.0,0.0,71.25,100.0,0,6,0,1,3,2,4.6066666666666665,4.61
4.61,4.39,0.0,0.0,72.42,100.0,0,6,0,1,3,2,4.596666666666667,4.57
4.64,4.75,0.0,0.0,69.88,100.0,0,6,0,1,3,2,4.6066666666666665,4.61
4.57,4.75,0.0,0.0,69.33,100.0,0,6,0,1,3,3,4.6066666666666665,4.64
4.64,5.11,0.0,0.0,67.22,100.0,0,6,0,1,3,3,4.616666666666666,4.57
4.64,4.72,0.0,0.0,70.1,100.0,0,6,0,1,3,3,4.616666666666667,4.64
4.68,4.68,0.0,0.0,70.71,100.0,0,6,0,1,3,3,4.653333333333333,4.64
4.57,4.46,0.0,0.0,71.57,100.0,0,6,0,1,3,4,4.63,4.68
4.54,4.32,0.0,0.0,72.44,100.0,0,6,0,1,3,4,4.596666666666667,4.57
4.61,4.46,0.0,0.0,71.87,100.0,0,6,0,1,3,4,4.573333333333333,4.54
4.57,4.32,0.0,0.0,72.67,100.0,0,6,0,1,3,4,4.573333333333333,4.61
4.61,4.32,0.0,0.0,72.97,100.0,0,6,0,1,3,5,4.596666666666667,4.57
4.54,4.14,0.0,0.0,73.89,100.0,0,6,0,1,3,5,4.573333333333333,4.61
4.57,4.21,0.0,0.0,73.55,100.0,0,6,0,1,3,5,4.573333333333333,4.54
4.57,4.43,0.0,0.0,71.8,100.0,0,6,0,1,3,5,4.56,4.57
4.57,4.5,0.0,0.0,71.25,100.0,0,6,0,1,3,6,4.57,4.57
4.64,4.61,0.0,0.0,70.94,100.0,0,6,0,1,3,6,4.593333333333334,4.57
4.57,4.36,0.0,0.0,72.35,100.0,0,6,0,1,3,6,4.593333333333334,4.64
4.61,4.54,0.0,0.0,71.25,100.0,0,6,0,1,3,6,4.6066666666666665,4.57
4.54,4.28,0.0,0.0,72.76,100.0,0,6,0,1,3,7,4.573333333333333,4.61
4.46,4.18,0.0,0.0,72.96,100.0,0,6,0,1,3,7,4.536666666666666,4.54
6.12,4.25,0.0,0.0,82.14,100.0,0,6,0,1,3,7,5.04,4.46
7.92,4.68,0.0,0.0,86.09,100.0,0,6,0,1,3,7,6.166666666666667,6.12
9.58,4.36,0.0,0.0,91.02,100.0,0,6,0,1,3,8,7.873333333333332,7.92
37.01,21.56,0.0,0.02,86.41,100.0,0,6,0,1,3,8,18.169999999999998,9.58
74.59,35.86,0.0,0.03,90.13,100.0,0,6,0,1,3,8,40.39333333333334,37.01
109.48,53.32,0.0,0.05,89.9,100.0,0,6,0,1,3,8,73.69333333333334,74.59
105.08,31.82,0.0,0.05,95.71,100.0,0,6,0,1,3,9,96.38333333333334,109.48
121.79,41.26,0.0,0.06,94.71,100.0,0,6,2,1,3,9,112.11666666666667,105.08
114.48,30.24,0.0,0.05,96.68,100.0,0,6,2,1,3,9,113.78333333333335,121.79
74.2,21.96,0.0,0.03,95.89,100.0,0,6,2,1,3,9,103.49000000000001,114.48
54.32,7.13,0.04,0.02,99.15,100.0,0,6,2,1,3,10,81.0,74.2
75.17,25.06,0.0,0.03,94.87,100.0,0,6,1,1,3,10,67.89666666666668,54.32
58.07,12.24,0.0,0.03,97.85,100.0,0,6,1,1,3,10,62.52,75.17
67.03,15.08,0.0,0.03,97.56,100.0,0,6,1,1,3,10,66.75666666666667,58.07
74.59,31.64,0.04,0.03,92.06,100.0,0,6,1,1,3,11,66.56333333333335,67.03
57.56,23.9,0.0,0.03,92.36,100.0,0,6,1,1,3,11,66.39333333333335,74.59
78.62,48.06,0.0,0.04,85.32,100.0,0,6,1,1,3,11,70.25666666666667,57.56
69.16,44.17,0.0,0.03,84.28,100.0,0,6,1,1,3,11,68.44666666666667,78.62
74.05,44.78,0.0,0.03,85.57,100.0,0,6,1,1,3,12,73.94333333333334,69.16
11.27,0.5,20.45,0.01,99.9,48.27,0,6,2,1,3,12,51.49333333333334,74.05
8.21,0.0,26.21,0.0,100.0,29.89,0,6,2,1,3,12,31.176666666666677,11.27
8.14,0.0,25.56,0.0,100.0,30.34,0,6,2,1,3,12,9.206666666666676,8.21
7.7,0.0,25.74,0.0,100.0,28.66,0,6,2,1,3,13,8.016666666666676,8.14
51.26,21.38,6.08,0.02,92.29,99.3,0,6,2,1,3,13,22.366666666666674,7.7
52.7,13.64,0.0,0.02,96.81,100.0,0,6,2,1,3,13,37.220000000000006,51.26
55.84,17.24,0.0,0.03,95.55,100.0,0,6,2,1,3,13,53.26666666666668,52.7
57.2,17.32,0.0,0.03,95.71,100.0,0,6,2,1,3,14,55.24666666666668,55.84
76.57,30.6,0.0,0.04,92.86,100.0,0,6,2,1,3,14,63.20333333333334,57.2
61.13,20.45,0.0,0.03,94.83,100.0,0,6,2,1,3,14,64.96666666666667,76.57
66.74,26.42,0.0,0.03,92.98,100.0,0,6,2,1,3,14,68.14666666666668,61.13
55.8,16.42,0.0,0.03,95.93,100.0,0,6,2,1,3,15,61.223333333333336,66.74
57.46,18.25,0.0,0.03,95.31,100.0,0,6,2,1,3,15,60.00000000000001,55.8
71.28,28.08,0.0,0.03,93.04,100.0,0,6,2,1,3,15,61.51333333333334,57.46
73.15,28.62,0.0,0.03,93.13,100.0,0,6,2,1,3,15,67.29666666666667,71.28
68.98,25.81,0.0,0.03,93.66,100.0,0,6,2,1,3,16,71.13666666666667,73.15
85.0,27.79,0.0,0.04,95.05,100.0,0,6,2,1,3,16,75.71000000000002,68.98
116.53,41.9,0.0,0.05,94.1,100.0,0,6,2,1,3,16,90.17000000000002,85.0
118.62,39.06,0.0,0.05,94.98,100.0,0,6,2,1,3,16,106.71666666666668,116.53
105.05,35.64,0.0,0.05,94.7,100.0,0,6,2,1,3,17,113.40000000000002,118.62
114.01,41.15,0.0,0.05,94.06,100.0,0,6,1,1,3,17,112.56000000000002,105.05
73.62,13.25,1.69,0.03,98.42,99.97,0,6,1,1,3,18,97.56000000000002,114.01
36.22,12.74,0.54,0.02,94.33,99.99,0,6,1,1,3,18,74.61666666666667,73.62
39.82,18.43,0.0,0.02,90.75,100.0,0,6,1,1,3,18,49.88666666666668,36.22
37.08,4.18,1.94,0.02,99.37,99.86,0,6,1,1,3,18,37.70666666666668,39.82
42.98,5.47,0.18,0.02,99.2,100.0,0,6,1,1,3,19,39.96000000000001,37.08
37.94,0.86,1.58,0.02,99.97,99.91,0,6,1,1,3,19,39.33333333333334,42.98
39.71,3.74,0.79,0.02,99.56,99.98,0,6,1,1,3,19,40.21000000000001,37.94
43.2,5.69,0.18,0.02,99.14,100.0,0,6,1,1,3,19,40.28333333333334,39.71
37.33,1.19,1.66,0.02,99.95,99.9,0,6,1,1,3,20,40.08000000000001,43.2
41.0,5.62,0.54,0.02,99.07,99.99,0,6,2,1,3,20,40.51000000000001,37.33
37.3,2.88,1.22,0.02,99.7,99.95,0,6,2,1,3,20,38.543333333333344,41.0
32.72,2.02,6.98,0.02,99.81,97.8,0,6,2,1,3,20,37.00666666666667,37.3
9.83,0.0,23.83,0.0,100.0,38.13,0,6,2,1,3,21,26.616666666666674,32.72
7.96,0.0,24.8,0.0,100.0,30.56,0,6,2,1,3,21,16.836666666666677,9.83
5.44,0.0,26.82,0.0,100.0,19.88,0,6,2,1,3,21,7.743333333333343,7.96
5.11,0.0,26.78,0.0,100.0,18.74,0,6,2,1,3,21,6.17000000000001,5.44
5.18,0.0,26.78,0.0,100.0,18.99,0,6,2,1,3,22,5.243333333333343,5.11
4.97,1.91,15.16,0.0,93.34,31.15,0,6,1,1,3,22,5.086666666666676,5.18
4.75,5.26,0.0,0.0,67.02,100.0,0,6,1,1,3,22,4.966666666666676,4.97
4.64,5.15,0.0,0.0,66.94,100.0,0,6,1,1,3,22,4.786666666666676,4.75
4.64,4.97,0.0,0.0,68.24,100.0,0,6,1,1,3,23,4.676666666666676,4.64
4.72,4.39,0.0,0.0,73.22,100.0,0,6,0,1,3,23,4.666666666666676,4.64
4.61,4.25,0.0,0.0,73.52,100.0,0,6,0,1,3,23,4.656666666666676,4.72
4.57,4.43,0.0,0.0,71.8,100.0,0,6,0,1,3,23,4.633333333333343,4.61
4.61,4.57,0.0,0.0,71.02,100.0,0,4,0,1,4,0,4.596666666666676,4.57
4.64,4.57,0.0,0.0,71.25,100.0,0,4,0,1,4,0,4.606666666666676,4.61
4.64,4.68,0.0,0.0,70.41,100.0,0,4,0,1,4,0,4.63000000000001,4.64
4.64,5.04,0.0,0.0,67.73,100.0,0,4,0,1,4,0,4.64,4.64
4.61,4.79,0.0,0.0,69.34,100.0,0,4,0,1,4,1,4.63000000000001,4.64
4.61,4.64,0.0,0.0,70.48,100.0,0,4,0,1,4,1,4.620000000000009,4.61
4.61,4.93,0.0,0.0,68.3,100.0,0,4,0,1,4,1,4.61,4.61
4.68,4.64,0.0,0.0,71.01,100.0,0,4,0,1,4,1,4.6333333333333435,4.61
4.64,4.79,0.0,0.0,69.58,100.0,0,4,0,1,4,2,4.643333333333342,4.68
4.61,4.75,0.0,0.0,69.65,100.0,0,4,0,1,4,2,4.643333333333342,4.64
4.64,4.9,0.0,0.0,68.76,100.0,0,4,0,1,4,2,4.63000000000001,4.61
4.61,4.9,0.0,0.0,68.52,100.0,0,4,0,1,4,2,4.620000000000009,4.64
4.68,4.93,0.0,0.0,68.85,100.0,0,4,0,1,4,3,4.643333333333342,4.61
4.68,5.0,0.0,0.0,68.34,100.0,0,4,0,1,4,3,4.656666666666676,4.68
4.61,4.86,0.0,0.0,68.82,100.0,0,4,0,1,4,3,4.656666666666676,4.68
