Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type,month,day,hour
3.2,3.1,0.0,0.0,71.82,100.0,0,5,0,1,2,0
3.85,4.61,0.0,0.0,64.1,100.0,0,5,0,1,2,0
3.28,3.67,0.0,0.0,66.64,100.0,0,5,0,1,2,0
3.35,3.6,0.0,0.0,68.12,100.0,0,5,0,1,2,1
3.89,4.72,0.0,0.0,63.6,100.0,0,5,0,1,2,1
3.28,3.53,0.0,0.0,68.07,100.0,0,5,0,1,2,1
3.46,3.96,0.0,0.0,65.8,100.0,0,5,0,1,2,1
3.78,4.82,0.0,0.0,61.71,100.0,0,5,0,1,2,2
3.31,3.53,0.0,0.0,68.4,100.0,0,5,0,1,2,2
3.6,4.36,0.0,0.0,63.67,100.0,0,5,0,1,2,2
3.64,4.39,0.0,0.0,63.83,100.0,0,5,0,1,2,2
3.28,3.71,0.0,0.0,66.24,100.0,0,5,0,1,2,3
3.71,4.57,0.0,0.0,63.03,100.0,0,5,0,1,2,3
3.56,4.03,0.0,0.0,66.21,100.0,0,5,0,1,2,3
3.24,3.49,0.0,0.0,68.04,100.0,0,5,0,1,2,3
3.89,4.64,0.0,0.0,64.25,100.0,0,5,0,1,2,4
3.28,3.42,0.0,0.0,69.22,100.0,0,5,0,1,2,4
3.28,3.49,0.0,0.0,68.48,100.0,0,5,0,1,2,4
3.96,4.68,0.0,0.0,64.59,100.0,0,5,0,1,2,4
3.24,3.42,0.0,0.0,68.77,100.0,0,5,0,1,2,5
3.46,3.78,0.0,0.0,67.52,100.0,0,5,0,1,2,5
3.67,4.07,0.0,0.0,66.97,100.0,0,5,0,1,2,5
3.67,3.96,0.0,0.0,67.97,100.0,0,5,0,1,2,6
3.53,3.78,0.0,0.0,68.25,100.0,0,5,0,1,2,6
3.2,3.24,0.0,0.0,70.27,100.0,0,5,0,1,2,6
3.78,4.07,0.0,0.0,68.05,100.0,0,5,0,1,2,6
3.35,3.35,0.0,0.0,70.71,100.0,0,5,0,1,2,7
3.53,3.49,0.0,0.0,71.11,100.0,0,5,0,1,2,7
6.3,4.57,0.0,0.0,80.95,100.0,0,5,0,1,2,7
6.05,4.79,0.0,0.0,78.4,100.0,0,5,0,1,2,7
6.73,4.54,0.0,0.0,82.9,100.0,0,5,0,1,2,8
29.02,18.83,0.07,0.0,83.89,100.0,0,5,0,1,2,8
46.19,28.66,0.0,0.0,84.97,100.0,0,5,0,1,2,8
52.06,35.32,0.0,0.0,82.75,100.0,0,5,0,1,2,8
56.2,12.53,0.11,0.0,97.6,100.0,0,5,0,1,2,9
56.84,8.32,0.0,0.0,98.95,100.0,0,5,2,1,2,9
51.26,4.54,0.94,0.0,99.61,99.98,0,5,2,1,2,9
48.13,2.34,1.15,0.0,99.88,99.97,0,5,2,1,2,9
52.81,7.06,0.54,0.0,99.12,99.99,0,5,2,1,2,10
54.79,7.52,0.14,0.0,99.07,100.0,0,5,1,1,2,10
53.21,8.35,0.11,0.0,98.79,100.0,0,5,1,1,2,10
80.21,32.4,0.0,0.0,92.72,100.0,0,5,1,1,2,10
77.58,25.49,0.0,0.0,95.0,100.0,0,5,1,1,2,11
90.86,54.29,0.0,0.0,85.84,100.0,0,5,1,1,2,11
19.22,5.54,18.9,0.0,96.09,71.3,0,5,2,1,2,12
8.46,0.0,25.92,0.0,100.0,31.03,0,5,2,1,2,12
8.24,0.0,25.34,0.0,100.0,30.92,0,5,2,1,2,12
8.03,0.0,25.49,0.0,100.0,30.05,0,5,2,1,2,13
79.67,27.29,6.52,0.0,94.6,99.67,0,5,2,1,2,13
97.85,46.8,0.0,0.0,90.21,100.0,0,5,2,1,2,13
108.61,43.34,0.0,0.0,92.88,100.0,0,5,2,1,2,14
123.12,55.26,0.0,0.0,91.23,100.0,0,5,2,1,2,14
82.08,27.58,0.0,0.0,94.79,100.0,0,5,2,1,2,14
86.9,34.27,0.0,0.0,93.03,100.0,0,5,2,1,2,15
116.53,52.88,0.0,0.0,91.06,100.0,0,5,2,1,2,15
85.72,34.85,0.0,0.0,92.64,100.0,0,5,2,1,2,16
86.94,30.78,0.0,0.0,94.27,100.0,0,5,2,1,2,17
67.25,25.81,0.0,0.0,93.36,100.0,0,5,1,1,2,17
115.78,50.04,0.0,0.0,91.79,100.0,0,5,1,1,2,17
113.11,34.63,0.0,0.0,95.62,100.0,0,5,1,1,2,17
76.75,11.74,1.04,0.0,98.85,99.99,0,5,1,1,2,18
41.9,15.23,0.14,0.0,93.98,100.0,0,5,1,1,2,18
37.4,19.94,0.0,0.0,88.24,100.0,0,5,1,1,2,18
40.25,8.82,0.5,0.0,97.68,99.99,0,5,1,1,2,18
34.92,1.98,1.58,0.0,99.84,99.9,0,5,1,1,2,19
41.36,6.44,0.43,0.0,98.81,99.99,0,5,1,1,2,19
35.96,2.52,1.37,0.0,99.76,99.93,0,5,1,1,2,19
39.42,5.29,0.47,0.0,99.11,99.99,0,5,1,1,2,19
38.16,4.68,0.5,0.0,99.26,99.99,0,5,1,1,2,20
33.23,1.51,3.96,0.0,99.9,99.3,0,5,2,1,2,20
25.88,0.0,12.13,0.0,100.0,90.55,0,5,2,1,2,20
10.84,0.0,23.22,0.0,100.0,42.3,0,5,2,1,2,20
9.29,0.0,23.51,0.0,100.0,36.75,0,5,2,1,2,21
6.98,0.0,25.16,0.0,100.0,26.73,0,5,2,1,2,21
5.11,0.0,26.5,0.0,100.0,18.93,0,5,2,1,2,21
5.08,0.0,26.42,0.0,100.0,18.88,0,5,2,1,2,21
5.04,0.0,26.46,0.0,100.0,18.71,0,5,2,1,2,22
4.93,1.84,15.44,0.0,93.69,30.42,0,5,1,1,2,22
4.64,5.22,0.0,0.0,66.44,100.0,0,5,1,1,2,22
4.68,5.18,0.0,0.0,67.04,100.0,0,5,1,1,2,22
4.68,5.11,0.0,0.0,67.54,100.0,0,5,1,1,2,23
4.57,4.54,0.0,0.0,70.94,100.0,0,5,0,1,2,23
4.57,4.25,0.0,0.0,73.23,100.0,0,5,0,1,2,23
4.54,4.25,0.0,0.0,73.0,100.0,0,5,0,1,2,23
4.61,4.21,0.0,0.0,73.84,100.0,0,5,0,1,2,0
4.61,4.61,0.0,0.0,70.71,100.0,0,6,0,1,3,0
4.61,4.54,0.0,0.0,71.25,100.0,0,6,0,1,3,0
4.57,4.5,0.0,0.0,71.25,100.0,0,6,0,1,3,0
4.57,4.61,0.0,0.0,70.4,100.0,0,6,0,1,3,1
4.64,4.46,0.0,0.0,72.1,100.0,0,6,0,1,3,1
4.64,4.57,0.0,0.0,71.25,100.0,0,6,0,1,3,1
4.61,4.79,0.0,0.0,69.34,100.0,0,6,0,1,3,1
4.57,4.5,0.0,0.0,71.25,100.0,0,6,0,1,3,2
4.61,4.39,0.0,0.0,72.42,100.0,0,6,0,1,3,2
4.64,4.75,0.0,0.0,69.88,100.0,0,6,0,1,3,2
4.57,4.75,0.0,0.0,69.33,100.0,0,6,0,1,3,3
4.64,5.11,0.0,0.0,67.22,100.0,0,6,0,1,3,3
4.64,4.72,0.0,0.0,70.1,100.0,0,6,0,1,3,3
4.68,4.68,0.0,0.0,70.71,100.0,0,6,0,1,3,3
4.57,4.46,0.0,0.0,71.57,100.0,0,6,0,1,3,4
4.54,4.32,0.0,0.0,72.44,100.0,0,6,0,1,3,4
4.61,4.46,0.0,0.0,71.87,100.0,0,6,0,1,3,4
4.57,4.32,0.0,0.0,72.67,100.0,0,6,0,1,3,4
4.61,4.32,0.0,0.0,72.97,100.0,0,6,0,1,3,5
4.54,4.14,0.0,0.0,73.89,100.0,0,6,0,1,3,5
4.57,4.21,0.0,0.0,73.55,100.0,0,6,0,1,3,5
4.57,4.43,0.0,0.0,71.8,100.0,0,6,0,1,3,5
4.57,4.5,0.0,0.0,71.25,100.0,0,6,0,1,3,6
4.64,4.61,0.0,0.0,70.94,100.0,0,6,0,1,3,6
4.57,4.36,0.0,0.0,72.35,100.0,0,6,0,1,3,6
4.61,4.54,0.0,0.0,71.25,100.0,0,6,0,1,3,6
4.54,4.28,0.0,0.0,72.76,100.0,0,6,0,1,3,7
4.46,4.18,0.0,0.0,72.96,100.0,0,6,0,1,3,7
6.12,4.25,0.0,0.0,82.14,100.0,0,6,0,1,3,7
7.92,4.68,0.0,0.0,86.09,100.0,0,6,0,1,3,7
9.58,4.36,0.0,0.0,91.02,100.0,0,6,0,1,3,8
37.01,21.56,0.0,0.02,86.41,100.0,0,6,0,1,3,8
74.59,35.86,0.0,0.03,90.13,100.0,0,6,0,1,3,8
109.48,53.32,0.0,0.05,89.9,100.0,0,6,0,1,3,8
105.08,31.82,0.0,0.05,95.71,100.0,0,6,0,1,3,9
121.79,41.26,0.0,0.06,94.71,100.0,0,6,2,1,3,9
114.48,30.24,0.0,0.05,96.68,100.0,0,6,2,1,3,9
74.2,21.96,0.0,0.03,95.89,100.0,0,6,2,1,3,9
54.32,7.13,0.04,0.02,99.15,100.0,0,6,2,1,3,10
75.17,25.06,0.0,0.03,94.87,100.0,0,6,1,1,3,10
58.07,12.24,0.0,0.03,97.85,100.0,0,6,1,1,3,10
67.03,15.08,0.0,0.03,97.56,100.0,0,6,1,1,3,10
74.59,31.64,0.04,0.03,92.06,100.0,0,6,1,1,3,11
57.56,23.9,0.0,0.03,92.36,100.0,0,6,1,1,3,11
78.62,48.06,0.0,0.04,85.32,100.0,0,6,1,1,3,11
69.16,44.17,0.0,0.03,84.28,100.0,0,6,1,1,3,11
74.05,44.78,0.0,0.03,85.57,100.0,0,6,1,1,3,12
11.27,0.5,20.45,0.01,99.9,48.27,0,6,2,1,3,12
8.21,0.0,26.21,0.0,100.0,29.89,0,6,2,1,3,12
8.14,0.0,25.56,0.0,100.0,30.34,0,6,2,1,3,12
7.7,0.0,25.74,0.0,100.0,28.66,0,6,2,1,3,13
51.26,21.38,6.08,0.02,92.29,99.3,0,6,2,1,3,13
52.7,13.64,0.0,0.02,96.81,100.0,0,6,2,1,3,13
55.84,17.24,0.0,0.03,95.55,100.0,0,6,2,1,3,13
57.2,17.32,0.0,0.03,95.71,100.0,0,6,2,1,3,14
76.57,30.6,0.0,0.04,92.86,100.0,0,6,2,1,3,14
61.13,20.45,0.0,0.03,94.83,100.0,0,6,2,1,3,14
66.74,26.42,0.0,0.03,92.98,100.0,0,6,2,1,3,14
55.8,16.42,0.0,0.03,95.93,100.0,0,6,2,1,3,15
57.46,18.25,0.0,0.03,95.31,100.0,0,6,2,1,3,15
71.28,28.08,0.0,0.03,93.04,100.0,0,6,2,1,3,15
73.15,28.62,0.0,0.03,93.13,100.0,0,6,2,1,3,15
68.98,25.81,0.0,0.03,93.66,100.0,0,6,2,1,3,16
85.0,27.79,0.0,0.04,95.05,100.0,0,6,2,1,3,16
116.53,41.9,0.0,0.05,94.1,100.0,0,6,2,1,3,16
118.62,39.06,0.0,0.05,94.98,100.0,0,6,2,1,3,16
105.05,35.64,0.0,0.05,94.7,100.0,0,6,2,1,3,17
114.01,41.15,0.0,0.05,94.06,100.0,0,6,1,1,3,17
73.62,13.25,1.69,0.03,98.42,99.97,0,6,1,1,3,18
36.22,12.74,0.54,0.02,94.33,99.99,0,6,1,1,3,18
39.82,18.43,0.0,0.02,90.75,100.0,0,6,1,1,3,18
37.08,4.18,1.94,0.02,99.37,99.86,0,6,1,1,3,18
42.98,5.47,0.18,0.02,99.2,100.0,0,6,1,1,3,19
37.94,0.86,1.58,0.02,99.97,99.91,0,6,1,1,3,19
39.71,3.74,0.79,0.02,99.56,99.98,0,6,1,1,3,19
43.2,5.69,0.18,0.02,99.14,100.0,0,6,1,1,3,19
37.33,1.19,1.66,0.02,99.95,99.9,0,6,1,1,3,20
41.0,5.62,0.54,0.02,99.07,99.99,0,6,2,1,3,20
37.3,2.88,1.22,0.02,99.7,99.95,0,6,2,1,3,20
32.72,2.02,6.98,0.02,99.81,97.8,0,6,2,1,3,20
9.83,0.0,23.83,0.0,100.0,38.13,0,6,2,1,3,21
7.96,0.0,24.8,0.0,100.0,30.56,0,6,2,1,3,21
5.44,0.0,26.82,0.0,100.0,19.88,0,6,2,1,3,21
5.11,0.0,26.78,0.0,100.0,18.74,0,6,2,1,3,21
5.18,0.0,26.78,0.0,100.0,18.99,0,6,2,1,3,22
4.97,1.91,15.16,0.0,93.34,31.15,0,6,1,1,3,22
4.75,5.26,0.0,0.0,67.02,100.0,0,6,1,1,3,22
4.64,5.15,0.0,0.0,66.94,100.0,0,6,1,1,3,22
4.64,4.97,0.0,0.0,68.24,100.0,0,6,1,1,3,23
4.72,4.39,0.0,0.0,73.22,100.0,0,6,0,1,3,23
4.61,4.25,0.0,0.0,73.52,100.0,0,6,0,1,3,23
4.57,4.43,0.0,0.0,71.8,100.0,0,6,0,1,3,23
4.61,4.57,0.0,0.0,71.02,100.0,0,4,0,1,4,0
4.64,4.57,0.0,0.0,71.25,100.0,0,4,0,1,4,0
4.64,4.68,0.0,0.0,70.41,100.0,0,4,0,1,4,0
4.61,4.79,0.0,0.0,69.34,100.0,0,4,0,1,4,1
4.61,4.64,0.0,0.0,70.48,100.0,0,4,0,1,4,1
4.61,4.93,0.0,0.0,68.3,100.0,0,4,0,1,4,1
4.68,4.64,0.0,0.0,71.01,100.0,0,4,0,1,4,1
4.64,4.79,0.0,0.0,69.58,100.0,0,4,0,1,4,2
4.61,4.75,0.0,0.0,69.65,100.0,0,4,0,1,4,2
4.64,4.9,0.0,0.0,68.76,100.0,0,4,0,1,4,2
4.61,4.9,0.0,0.0,68.52,100.0,0,4,0,1,4,2
4.68,4.93,0.0,0.0,68.85,100.0,0,4,0,1,4,3
4.68,5.0,0.0,0.0,68.34,100.0,0,4,0,1,4,3
4.61,4.86,0.0,0.0,68.82,100.0,0,4,0,1,4,3
4.68,5.15,0.0,0.0,67.25,100.0,0,4,0,1,4,4
4.61,4.72,0.0,0.0,69.87,100.0,0,4,0,1,4,4
4.64,4.72,0.0,0.0,70.1,100.0,0,4,0,1,4,4
4.64,4.54,0.0,0.0,71.48,100.0,0,4,0,1,4,4
4.61,4.64,0.0,0.0,70.48,100.0,0,4,0,1,4,5
4.61,4.5,0.0,0.0,71.56,100.0,0,4,0,1,4,5
4.64,4.5,0.0,0.0,71.79,100.0,0,4,0,1,4,5
4.61,4.39,0.0,0.0,72.42,100.0,0,4,0,1,4,5
4.61,4.54,0.0,0.0,71.25,100.0,0,4,0,1,4,6
4.61,4.64,0.0,0.0,70.48,100.0,0,4,0,1,4,6
4.64,4.82,0.0,0.0,69.35,100.0,0,4,0,1,4,6
4.57,4.68,0.0,0.0,69.86,100.0,0,4,0,1,4,6
4.64,4.57,0.0,0.0,71.25,100.0,0,4,0,1,4,7
4.54,4.61,0.0,0.0,70.17,100.0,0,4,0,1,4,7
5.36,4.79,0.0,0.0,74.56,100.0,0,4,0,1,4,7
7.06,4.9,0.0,0.0,82.15,100.0,0,4,0,1,4,7
7.81,4.68,0.0,0.0,85.78,100.0,0,4,0,1,4,8
83.23,51.73,0.0,0.04,84.93,100.0,0,4,0,1,4,8
108.29,75.82,0.0,0.05,81.92,100.0,0,4,0,1,4,8
111.49,39.17,0.0,0.05,94.35,100.0,0,4,2,1,4,10
96.66,30.89,0.0,0.04,95.25,100.0,0,4,1,1,4,10
78.37,28.94,0.0,0.04,93.81,100.0,0,4,1,1,4,11
104.8,59.04,0.0,0.05,87.13,100.0,0,4,1,1,4,11
113.11,60.19,0.0,0.05,88.28,100.0,0,4,1,1,4,11
14.15,3.78,18.79,0.01,96.61,60.16,0,4,2,1,4,12
7.85,0.0,26.39,0.0,100.0,28.51,0,4,2,1,4,12
7.02,0.0,26.89,0.0,100.0,25.26,0,4,2,1,4,12
7.63,0.07,26.46,0.0,100.0,27.71,0,4,2,1,4,13
78.37,21.24,1.19,0.04,96.52,99.99,0,4,2,1,4,13
105.12,33.66,0.0,0.05,95.24,100.0,0,4,2,1,4,13
120.6,41.4,0.0,0.06,94.58,100.0,0,4,2,1,4,14
117.97,41.72,0.0,0.05,94.28,100.0,0,4,2,1,4,14
121.93,43.56,0.0,0.06,94.17,100.0,0,4,2,1,4,14
121.07,44.35,0.0,0.06,93.9,100.0,0,4,2,1,4,14
115.42,38.45,0.0,0.05,94.87,100.0,0,4,2,1,4,15
115.49,41.15,0.0,0.05,94.2,100.0,0,4,2,1,4,15
101.92,39.06,0.0,0.05,93.38,100.0,0,4,2,1,4,15
118.94,49.97,0.0,0.05,92.19,100.0,0,4,2,1,4,16
88.27,28.73,0.0,0.04,95.09,100.0,0,4,2,1,4,16
119.99,38.99,0.0,0.06,95.1,100.0,0,4,2,1,4,16
97.63,37.26,0.0,0.04,93.43,100.0,0,4,2,1,4,17
122.04,51.44,0.0,0.06,92.15,100.0,0,4,1,1,4,17
43.06,1.94,3.46,0.02,99.9,99.68,0,4,1,1,4,17
65.38,7.09,2.12,0.03,99.42,99.95,0,4,1,1,4,18
39.71,16.24,0.54,0.02,92.56,99.99,0,4,1,1,4,18
51.59,33.34,0.0,0.02,83.99,100.0,0,4,1,1,4,18
46.4,15.26,0.0,0.02,94.99,100.0,0,4,1,1,4,18
67.18,28.55,0.0,0.03,92.03,100.0,0,4,1,1,4,19
53.39,18.0,0.0,0.02,94.76,100.0,0,4,1,1,4,19
52.74,16.31,0.0,0.02,95.54,100.0,0,4,1,1,4,19
69.84,38.88,0.0,0.03,87.37,100.0,0,4,1,1,4,19
51.16,17.93,0.0,0.02,94.37,100.0,0,4,1,1,4,20
64.58,28.58,0.0,0.03,91.45,100.0,0,4,2,1,4,20
69.3,39.92,0.0,0.03,86.65,100.0,0,4,2,1,4,20
46.62,11.99,0.04,0.02,96.85,100.0,0,4,2,1,4,20
36.22,3.1,2.77,0.02,99.64,99.71,0,4,2,1,4,21
8.28,0.0,24.08,0.0,100.0,32.52,0,4,2,1,4,21
6.08,0.0,25.56,0.0,100.0,23.14,0,4,2,1,4,21
5.26,0.0,25.78,0.0,100.0,19.99,0,4,2,1,4,21
5.15,0.0,25.85,0.0,100.0,19.54,0,4,2,1,4,22
5.04,2.16,14.65,0.0,91.91,32.53,0,4,1,1,4,22
4.82,6.37,0.0,0.0,60.34,100.0,0,4,1,1,4,22
4.75,6.34,0.0,0.0,59.96,100.0,0,4,1,1,4,22
4.79,6.01,0.0,0.0,62.33,100.0,0,4,1,1,4,23
4.64,5.18,0.0,0.0,66.72,100.0,0,4,0,1,4,23
4.64,4.79,0.0,0.0,69.58,100.0,0,4,0,1,4,23
4.61,5.04,0.0,0.0,67.49,100.0,0,4,0,1,4,23
4.64,5.04,0.0,0.0,67.73,100.0,0,4,0,1,4,0
4.72,5.15,0.0,0.0,67.57,100.0,0,0,0,1,5,0
4.68,5.22,0.0,0.0,66.75,100.0,0,0,0,1,5,0
4.68,5.54,0.0,0.0,64.53,100.0,0,0,0,1,5,0
4.72,5.58,0.0,0.0,64.58,100.0,0,0,0,1,5,1
4.68,5.36,0.0,0.0,65.77,100.0,0,0,0,1,5,1
4.68,5.33,0.0,0.0,65.98,100.0,0,0,0,1,5,1
4.61,4.86,0.0,0.0,68.82,100.0,0,0,0,1,5,1
4.61,4.68,0.0,0.0,70.18,100.0,0,0,0,1,5,2
4.64,5.0,0.0,0.0,68.02,100.0,0,0,0,1,5,2
4.64,4.97,0.0,0.0,68.24,100.0,0,0,0,1,5,2
4.68,5.22,0.0,0.0,66.75,100.0,0,0,0,1,5,2
4.64,5.04,0.0,0.0,67.73,100.0,0,0,0,1,5,3
4.61,5.08,0.0,0.0,67.2,100.0,0,0,0,1,5,3
4.68,5.04,0.0,0.0,68.05,100.0,0,0,0,1,5,3
4.61,5.0,0.0,0.0,67.79,100.0,0,0,0,1,5,3
4.72,5.0,0.0,0.0,68.65,100.0,0,0,0,1,5,4
4.61,4.68,0.0,0.0,70.18,100.0,0,0,0,1,5,4
4.61,4.72,0.0,0.0,69.87,100.0,0,0,0,1,5,4
4.61,4.86,0.0,0.0,68.82,100.0,0,0,0,1,5,4
4.61,4.82,0.0,0.0,69.12,100.0,0,0,0,1,5,5
4.68,4.97,0.0,0.0,68.55,100.0,0,0,0,1,5,5
4.64,4.93,0.0,0.0,68.54,100.0,0,0,0,1,5,5
4.57,4.79,0.0,0.0,69.03,100.0,0,0,0,1,5,5
4.64,4.93,0.0,0.0,68.54,100.0,0,0,0,1,5,6
4.61,4.79,0.0,0.0,69.34,100.0,0,0,0,1,5,6
4.64,4.82,0.0,0.0,69.35,100.0,0,0,0,1,5,6
4.61,4.72,0.0,0.0,69.87,100.0,0,0,0,1,5,6
